,tweet,label
0,cdc currently report death general discrepancy death count different source small explicable death toll stand roughly people today,1
1,state reported death small rise last tuesday southern state reported death http co yasgrtt ux,1
2,politically correct woman almost us pandemic excuse reuse plastic bag http co thf gunfpe coronavirus nashville,0
3,indiafightscorona covid testing laboratory india th august test done profbhargava dg icmrdelhi staysafe indiawillwin http co yh zxknnhz,1
4,populous state generate large case count look new case per million today smaller state showing case per million california texas al ar id k ky la m nv sc http co pyw cwras,1
5,covid act found average person illinois covid infecting people data show infection growth rate declined time factor stay home order restriction put place http co hhigdd fe,1
6,tested positive covid symptom stay home away people learn cdc recommendation around others covid infection http co z kkxpqkyb http co pamy rxaf,1
7,obama call trump coronavirus response chaotic disaster http co dedqzehasb,0
8,clearly obama administration leave kind game plan something like,0
9,retraction hydroxychloroquine chloroquine without macrolide treatment covid multinational registry analysis lancet http co l v x g,0
10,take simple daily precaution help prevent spread respiratory illness like covid learn protect coronavirus covid http co uargztrh l http co biztxtukyk,1
11,nba poised restart month march reported utah jazz got coronavirus test matter hour time u testing sluggish http co yjjrnoth http co nk gpyos,0
12,announced first participant age cohort dosed phase study mrna vaccine mrna novel coronavirus read http co woplkz bzc mrna http co vguoju c,1
13,coronavirusupdates indiafightscorona lakh test done rd successive day cumulative testing date reached covid test per million tpm cross,1
14,protect others covid using public transportation practice social distancing avoid touching surface practice hand hygiene learn http co vhhd ufv http co ysee vxv,1
15,august till total covid positive case covid related death manipur covid covid covid india covidupdates coronaupdates corona coronavirus coronavirusindia coronavirusupdates coronaviruspandemic http co au kzachgh,1
16,donald trump negligence incompetence people died nearly million case covid million american work yet patting back unbelievable,0
17,indiafightscorona india continues scale new peak covid test lakh sample tested daily consecutive day country achieved level high daily testing pmoindia drharshvardhan ashwinikchoubey pib india ddnewslive,1
18,announced shipped vial mrna company vaccine novel coronavirus nih used planned phase study u http co jnarqekghr http co eoayeqh,1
19,multiple facebook post claim aussie fined found talking conspiracy post included screenshot segment australian breakfast television show evidence claim,0
20,nobel prize laureate tasuku honjo say coronavirus natural post facebook claim fact professor honjo said greatly saddened name used spread misinformation latest coronacheck http co rlctuiciho http co wdooccixfu,0
21,nz covid tracker app remain important useful alert level people encouraged download app similar one keep record going,1
22,breaking news president cryill ramaphosa asked foreign nation depart south africa june due increasing case covid,0
23,delighted high upper middle country economy confirmed participate covax facility number growing urge yet joined th september drtedros covid,1
24,intriguing possibility mood change anxiety may function invasion coronavirus cns brain http co q kwqjmfrt,1
25,elon musck new baby get job kid http co bc ai christmas covid elonmusk achristmascarol,0
26,new alcohol free sanitizer developed dedan kimathi university kenya,0
27,appendix b gathering state order testing huge chunk work go appendix evaluation accessibility cdc data tracker,1
28,yesterday laboratory completed test testing people managed isolation quarantine routine testing either day stay brings total number test completed date,1
29,reusing n mask nih found vaporized hydrogen peroxide uv light heat effective sanitizers http co rgfweslrv coronavirus http co lz iamdpzg,1
30,realdonaldtrump shifted focus different moment coronavirusoutbreak updated running timeline response virus http co pgxjssarcb reply u recent trump moment think belong running list http co g wycppdso,0
31,doctored image president donald trump shared claiming asked people chant hare krishna hare rama,0
32,fourthofjuly weekend choose spend time outdoors event gathering stay ft apart wear cloth face cover slow spread covid learn http co c f aoumld http co u ttl,1
33,cdc recommends mother stop breastfeeding boost vaccine efficacy,0
34,singapore airline haults flight due coronavirus outbreak http co anhxhm dpk,0
35,florida governor ron desantis botch covid response banning corona beer order flatten pandemic curve,0
36,apologise government ekiti state error remain committed improving quality control process ensure accurate transparent reporting case http co c ypex khe,1
37,nyt invented video doctor fighting coronavirus hospital,0
38,may break k case day today south alone reported http co fgcegi v,1
39,alert american coronavirus symptom asked cough directly onto president trump,0
40,launched covid solidarity response fund far mobilized individual company philanthropy addition mobilized billion member state generous support country drtedros http co xgpkpdvn r,1
41,football player cristiano ronaldo turned hotel hospital help coronavirus patient paying doctor staff,0
42,including testing asymptomatic worker involved managed isolation quarantine airport border staff part wider surveillance measure expected operational early july,1
43,want national lockdown coronavirus continues progress uk pm say govt take measure insists want second national lockdown read http co oc er h lg http co nlcysrwbbn,1
44,daily update published state reported k test k case death http co bqjpy w qf,1
45,indiafightscorona new recovery india exceeded new case consecutive day covid http co iwv eym hd,1
46,top state high active caseload also one presently reporting high level recovery http co howhfx wpe,1
47,currently people managed isolation quarantine current effective capacity give u excess capacity next week projecting arrival departure facility,1
48,school struggling cope lack covid test new infection increasing since became compulsory pupil return get child tested virus explainer,1
49,scientist astrazeneca complain work coronavirus vaccine keep delayed noddy holder ringing ask ready christmas http co lmyztnapx,0
50,mask help prevent spread covid widely used public wear mask help protect around others wear one help protect people around incl http co jkwwztfwss wearamask doyourpart worldmaskweek http co fckrf k,1
51,new case covid nigeria lagos gombe plateau kwara enugu ogun katsina ekiti bauchi osun river confirmed discharged death http co enpey u xh,1
52,already coronavirus simple test http co pnbf rsff,0
53,rt mohfw india indiafightscorona high number sustained recovery india surge ahead highest single day recovery nearl,1
54,italy surrendered coronavirus pandemic measure control covid exhausted,0
55,president trump forced wear protective medical mask http co nrgtixvrtv donaldtrump coronavirus cia fbi iud,0
56,rt ellencutch coronavirus misinformation moving offline reddit user posted flyer site told u delive,0
57,orwell dead living bridge continued http co kl j vywwp government toiletpaper georgeorwell coronavirus,0
58,resident york asked think new government rule allows people england may covid fined fail self isolate read click http co pqd xgam http co qpgh xldio,1
59,central government given permission school open,0
60,today total icmrdelhi approved lab covid testing consist govt pvt lab http co j tavyickc covidtesting covid covid covid covid covid india covidupdates coronavirus coronaupdates coronavirusindia http co q iukceifx,1
61,government come pressure lack availability covid test read http co lmm qgeryl http co kjwsiny,1
62,fewer kid dying since lockdown new white paper examines,0
63,million case covid reported almost death although country affected continue see intense transmission relatively small group country drtedros,1
64,justin trudeau resigns amidst coronavirus pandemic http co hkmcnbxsnb,0
65,george soros one people responsible new coronavirus born laboratory,0
66,johnkin sensitivity test definitely something specialist talking seen real number also looked hard thing alexismadrigal,1
67,expert call claim cow dung urine yoga ayush prevent treat covid,0
68,main mode transmission novel coronavirus droplet possible infected smoker may blow droplet carrying virus exhale regardless covid steer clear second hand smoke may cause various health problem http co af bzrleve,1
69,article claiming bill gate vaccine would modify human dna,0
